Run,Trial,enter room,exit room,next room,triage,Mean
exp-0025,Trial-51,0.632653061,0.928571429,0.944444444,0.627906977,0.783393978
exp-0025,Trial-58,0.333333333,1,0.6,0.673469388,0.65170068
exp-0025,Trial-157,,,1,,1
exp-0025,Trial-100,,,1,,1
exp-0025,Trial-65,,,0.666666667,,0.666666667
exp-0025,Trial-172,0.318181818,1,0.888888889,0.677419355,0.721122515
exp-0025,Trial-217,0.5,0.96,0.833333333,0.652173913,0.736376812
exp-0025,Trial-91,0.377777778,0.992857143,0.916666667,0.657142857,0.736111111
exp-0025,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722
exp-0025,Trial-224,0.4,1,0.923076923,0.65625,0.744831731
exp-0025,Trial-260,0.407407407,1,0.928571429,0.830508475,0.791621828
exp-0025,Trial-59,0.40625,0.995633188,0.818181818,0.666666667,0.721682918
exp-0025,Trial-192,0.4,,0.6,1,0.666666667
exp-0025,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582
exp-0023,Trial-188,0.722222222,1,0.882352941,0.642857143,0.811858077
exp-0023,Trial-113,0.520833333,1,0.857142857,0.603448276,0.745356117
exp-0023,Trial-94,0.564102564,1,0.9375,0.590909091,0.773127914
exp-0023,Trial-238,0.622222222,1,0.941176471,0.909090909,0.8681224
exp-0023,Trial-248,0.444444444,1,1,0.777777778,0.805555556
exp-0023,Trial-245,0.605263158,1,0.916666667,0.714285714,0.809053885
exp-0023,Trial-73,0.473684211,0.875,0.928571429,0.7,0.74431391
exp-0023,Trial-255,0.464285714,1,1,0.7,0.791071429
exp-0023,Trial-102,0.404255319,1,1,0.663366337,0.766905414
exp-0023,Trial-184,0.575,1,0.8,0.538461538,0.728365385
exp-0023,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857
exp-0023,Trial-130,0.511111111,0.9375,0.928571429,0.789473684,0.791664056
exp-0023,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722
exp-0023,Trial-142,0.588235294,1,0.928571429,0.78125,0.824514181
exp-0023,Trial-218,0.571428571,1,1,0.666666667,0.80952381
exp-0023,Trial-86,0.372093023,1,0.866666667,0.533333333,0.693023256
exp-0023,Trial-234,0.6,1,0.933333333,0.565217391,0.774637681
exp-0023,Trial-244,0.769230769,1,0.7,0.76744186,0.809168157
exp-0026,Trial-102,0.363636364,1,1,0.663366337,0.756750675
exp-0026,Trial-127,0.555555556,1,0.75,0.714285714,0.754960317
exp-0026,Trial-151,0.5625,1,0.9375,0.789473684,0.822368421
exp-0026,Trial-188,0.722222222,1,0.882352941,0.642857143,0.811858077
exp-0026,Trial-196,0.586956522,1,0.866666667,0.827586207,0.820302349
exp-0026,Trial-236,0.6875,1,1,0.5625,0.8125
exp-0026,Trial-60,0.435897436,1,0.769230769,0.648648649,0.713444213
exp-0031,Trial-164,0.666666667,1,0.857142857,0.833333333,0.839285714
exp-0031,Trial-245,0.583333333,1,0.916666667,0.714285714,0.803571429
exp-0031,Trial-267,0.111111111,1,0.571428571,0.857142857,0.634920635
exp-0031,Trial-107,0.421052632,1,0.923076923,0.612903226,0.739258195
exp-0031,Trial-218,0.571428571,1,1,0.666666667,0.80952381
exp-0031,Trial-169,0.657142857,1,0.818181818,0.8,0.818831169
exp-0031,Trial-200,0.71875,1,0.909090909,0.655737705,0.820894654
exp-0031,Trial-141,0.7,1,0.947368421,0.727272727,0.843660287
exp-0031,Trial-59,0.40625,0.995633188,0.818181818,0.666666667,0.721682918
exp-0031,Trial-250,0.642857143,1,0.9375,0.510204082,0.772640306
exp-0031,Trial-203,0.714285714,0.882352941,0.857142857,0.428571429,0.720588235
exp-0021,Trial-187,0.347826087,0.202777778,1,0.662650602,0.553313617
exp-0021,Trial-202,0.590909091,1,0.923076923,0.52,0.758496503
exp-0021,Trial-46,0.466666667,1,0.875,0.642384106,0.746012693
exp-0021,Trial-48,0.65625,1,1,0.725490196,0.845435049
exp-0021,Trial-51,0.632653061,0.928571429,0.944444444,0.627906977,0.783393978
exp-0021,Trial-75,0.710526316,0.958333333,0.933333333,0.764705882,0.841724716
exp-0027,Trial-197,0.526315789,1,0.818181818,0.84375,0.797061902
exp-0027,Trial-66,0.653846154,1,0.933333333,0.675675676,0.815713791
exp-0027,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857
exp-0027,Trial-74,0.56097561,1,0.933333333,0.882352941,0.844165471
exp-0027,Trial-194,0.595238095,1,0.833333333,0.625,0.763392857
exp-0027,Trial-87,0.382352941,1,0.923076923,0.588235294,0.72341629
exp-0027,Trial-123,0.658536585,1,0.888888889,0.65625,0.800918869
exp-0027,Trial-208,0.6,0.916666667,0.9375,0.678571429,0.783184524
exp-0027,Trial-81,0.5,1,0.9,0.586206897,0.746551724
exp-0028,Trial-45,,,,,
exp-0028,Trial-149,0.526315789,1,0.785714286,0.608695652,0.730181432
exp-0028,Trial-251,0.473684211,0.956521739,0.9375,0.513513514,0.720304866
exp-0028,Trial-177,0.625,1,0.6,0.741935484,0.741733871
exp-0028,Trial-109,,,1,,1
exp-0028,Trial-63,0.657142857,1,0.928571429,0.707317073,0.82325784
exp-0028,Trial-121,0.583333333,1,1,0.740740741,0.831018519
exp-0028,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857
exp-0028,Trial-237,0.527777778,1,0.857142857,0.62962963,0.753637566
exp-0028,Trial-93,0.512195122,1,0.941176471,0.651162791,0.776133596
exp-0028,Trial-215,0.552631579,1,0.9375,0.587301587,0.769358292
exp-0028,Trial-85,0.346153846,1,0.833333333,0.551724138,0.682802829
exp-0030,Trial-207,0.48,1,0.833333333,0.72972973,0.760765766
exp-0030,Trial-113,0.5,1,0.857142857,0.603448276,0.740147783
exp-0030,Trial-227,0.608695652,0.928571429,0.857142857,0.639344262,0.75843855
exp-0030,Trial-225,0.638888889,1,0.875,0.666666667,0.795138889
exp-0030,Trial-243,0.538461538,1,1,0.44,0.744615385
exp-0030,Trial-48,0.685714286,1,1,0.725490196,0.85280112
exp-0030,Trial-193,0.657894737,1,0.933333333,0.375,0.741557018
exp-0030,Trial-253,0.555555556,1,1,0.633333333,0.797222222
exp-0030,Trial-228,0.615384615,1,0.8,0.8,0.803846154
exp-0002,Trial-269,0.777777778,1,,0.41025641,0.729344729
exp-0024,Trial-145,,,1,,1
exp-0024,Trial-270,0.583333333,0.954545455,1,0.62962963,0.791877104
exp-0024,Trial-43,,,1,,1
exp-0024,Trial-55,0.29787234,1,0.9375,0.656716418,0.72302219
exp-0024,Trial-85,0.346153846,1,0.833333333,0.551724138,0.682802829
exp-0029,Trial-178,0.511111111,1,0.846153846,0.307692308,0.666239316
exp-0029,Trial-115,0.552631579,1,1,0.625,0.794407895
exp-0029,Trial-227,0.608695652,0.928571429,0.857142857,0.639344262,0.75843855
exp-0029,Trial-214,0.6,1,0.875,0.633333333,0.777083333
exp-0029,Trial-95,0.375,1,0.916666667,0.619047619,0.727678571
exp-0029,Trial-147,0.413793103,1,1,0.675,0.772198276
exp-0029,Trial-247,0.490196078,1,1,0.7,0.79754902
exp-0029,Trial-224,0.4375,1,0.928571429,0.65625,0.755580357
exp-0029,Trial-264,0.568181818,0.933333333,1,0.610169492,0.777921161
exp-0029,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582
exp-0022,Trial-256,0.571428571,1,0.846153846,0.814814815,0.808099308
exp-0022,Trial-195,0.414634146,1,0.764705882,0.56097561,0.68507891
exp-0022,Trial-129,0.333333333,1,0.555555556,0.636363636,0.631313131
exp-0022,Trial-219,0.833333333,1,0.866666667,0.379310345,0.769827586
exp-0022,Trial-184,0.552631579,1,0.8,0.538461538,0.722773279
exp-0022,Trial-147,0.413793103,1,1,0.675,0.772198276
exp-0022,Trial-273,0.545454545,1,1,0.733333333,0.81969697
exp-0022,Trial-262,0.59375,1,0.769230769,0.769230769,0.783052885
exp-0022,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582